"village","female","water","irrigation"
"GP41_village9",0,10,14
"GP31_village5",1,30,14
"GP35_village7",0,17,12
"GP9_village3",1,20,12
"GP49_village6",1,24,10
"GP35_village8",0,22,8
"GP38_village9",0,10,7
"GP18_village3",1,22,11
"GP17_village1",0,23,5
"GP13_village8",0,12,6
"GP44_village7",1,31,16
"GP47_village5",0,11,10
"GP29_village3",1,25,15
"GP42_village7",0,13,8
"GP16_village4",0,10,7
"GP33_village9",1,20,7
"GP38_village5",0,11,9
"GP15_village9",0,14,11
"GP27_village7",0,13,6
"GP22_village9",1,22,15
"GP8_village9",1,31,13
"GP1_village7",1,19,7
"GP6_village4",0,15,7
"GP49_village3",1,21,12
"GP22_village9",0,15,6
"GP6_village2",1,18,10
"GP5_village8",0,11,9
"GP26_village1",0,17,11
"GP9_village10",0,10,7
"GP31_village7",0,10,9
"GP42_village2",1,33,14
"GP3_village10",1,29,10
"GP41_village3",1,21,16
"GP32_village2",1,25,11
"GP23_village5",0,13,11
"GP18_village8",0,13,6
"GP22_village1",1,19,15
"GP23_village1",0,11,7
"GP25_village8",0,14,15
"GP38_village2",0,15,13
"GP30_village8",0,15,9
"GP38_village3",0,19,9
"GP40_village4",0,13,5
"GP4_village7",0,11,10
"GP17_village2",0,15,19
"GP6_village4",0,25,10
"GP26_village1",0,16,12
"GP39_village3",0,14,12
"GP32_village7",0,11,15
"GP27_village8",1,25,13
"GP39_village3",0,19,13
"GP11_village7",0,17,15
"GP21_village2",1,21,11
"GP33_village2",0,15,7
"GP8_village9",0,12,11
"GP17_village10",0,19,8
"GP30_village7",0,17,8
"GP14_village1",1,17,12
"GP24_village2",1,22,10
"GP7_village9",0,15,7
"GP3_village9",1,19,13
"GP33_village1",0,18,20
"GP24_village6",0,18,5
"GP15_village6",0,17,14
"GP27_village9",1,22,13
"GP24_village7",0,28,10
"GP23_village9",1,30,14
"GP46_village3",1,17,12
"GP27_village8",1,27,16
"GP12_village10",0,9,12
"GP49_village6",1,16,10
"GP8_village10",0,8,8
"GP33_village9",1,21,16
"GP22_village9",0,12,7
"GP34_village4",0,11,8
"GP5_village9",0,21,11
"GP13_village9",0,14,10
"GP19_village5",0,19,9
"GP31_village1",0,17,13
"GP26_village2",0,14,10
"GP20_village3",0,9,6
"GP29_village5",1,21,10
"GP9_village8",0,8,7
"GP16_village1",1,29,15
"GP21_village7",0,23,10
"GP33_village10",0,20,12
"GP49_village5",1,22,17
"GP50_village7",1,14,20
"GP42_village9",1,27,12
"GP9_village10",0,12,18
"GP11_village2",0,18,10
"GP1_village6",0,17,6
"GP34_village3",0,9,13
"GP11_village3",0,13,8
"GP25_village8",0,11,9
"GP49_village7",0,15,11
"GP14_village2",1,25,11
"GP50_village5",0,15,10
"GP31_village6",0,8,13
"GP14_village3",0,11,9
"GP20_village1",0,13,6
"GP40_village9",0,15,7
"GP24_village8",0,15,10
"GP37_village9",1,24,9
"GP41_village1",0,21,9
"GP29_village8",1,21,14
"GP10_village8",1,23,11
"GP49_village8",0,19,9
"GP7_village10",0,19,13
"GP22_village10",0,19,7
"GP44_village8",1,20,12
"GP32_village8",0,15,9
"GP11_village8",0,21,11
"GP18_village2",1,28,7
"GP12_village2",1,19,10
"GP7_village2",0,13,7
"GP3_village3",0,18,15
"GP46_village2",1,27,18
"GP18_village9",0,13,14
"GP48_village9",0,9,6
"GP49_village7",0,15,10
"GP6_village5",0,19,12
"GP30_village10",0,22,13
"GP6_village6",0,20,9
"GP36_village2",0,17,9
"GP29_village1",1,14,12
"GP37_village2",0,19,14
"GP46_village2",0,13,13
"GP42_village10",0,18,12
"GP40_village5",1,25,11
"GP42_village8",0,12,11
"GP46_village3",1,27,14
"GP29_village2",1,24,22
"GP47_village8",1,28,10
"GP32_village9",0,9,11
"GP1_village9",0,9,10
"GP34_village7",1,26,10
"GP15_village2",1,22,8
"GP10_village5",1,26,16
"GP5_village9",0,20,3
"GP5_village3",0,15,6
"GP17_village10",0,18,11
"GP49_village9",0,10,11
"GP50_village5",0,9,9
"GP2_village8",1,24,12
"GP27_village2",0,18,13
"GP11_village6",0,15,12
"GP37_village8",0,11,13
"GP17_village6",0,17,17
"GP46_village10",1,27,15
"GP35_village6",1,31,13
"GP42_village4",0,15,3
"GP13_village1",0,14,12
"GP30_village8",0,8,12
"GP31_village9",0,10,7
"GP34_village6",0,11,14
"GP17_village6",0,13,9
"GP9_village2",0,12,11
"GP50_village9",0,13,10
"GP9_village8",0,15,9
"GP22_village3",0,11,9
"GP46_village10",0,15,13
"GP47_village3",0,17,9
"GP32_village9",0,13,21
"GP38_village6",0,27,14
"GP40_village7",0,17,13
"GP2_village10",1,24,17
"GP1_village7",0,18,9
"GP18_village5",0,18,8
"GP7_village9",0,14,14
"GP27_village5",0,16,4
"GP7_village4",0,11,10
"GP36_village10",1,33,10
"GP5_village7",1,36,14
"GP11_village3",1,26,19
"GP27_village3",0,16,9
"GP31_village3",0,12,9
"GP42_village7",0,9,11
"GP11_village5",1,22,11
"GP28_village6",0,8,12
"GP33_village2",1,19,16
"GP42_village4",0,15,10
"GP32_village6",1,17,19
"GP23_village6",0,16,8
"GP21_village10",0,18,12
"GP44_village5",0,18,9
"GP39_village4",0,12,9
"GP37_village3",0,16,17
"GP32_village7",1,19,14
"GP50_village6",1,24,12
"GP40_village2",0,14,12
"GP15_village9",0,6,11
"GP32_village7",1,30,11
"GP7_village8",0,12,10
"GP14_village8",1,21,15
"GP42_village6",0,12,11
"GP48_village5",0,14,7
"GP25_village9",0,10,15
"GP3_village9",0,22,10
"GP23_village5",0,14,9
"GP11_village10",0,16,16
"GP31_village1",1,25,13
"GP3_village10",0,19,9
"GP8_village2",0,10,14
"GP27_village3",0,15,13
"GP27_village7",1,25,9
"GP49_village6",0,16,12
"GP25_village6",0,17,9
"GP28_village2",0,14,13
"GP28_village1",0,13,7
"GP13_village3",0,23,12
"GP15_village9",0,15,13
"GP44_village2",0,16,15
"GP41_village10",1,16,18
"GP31_village8",0,16,13
"GP38_village8",1,23,8
"GP13_village9",0,19,8
"GP41_village4",0,12,16
"GP11_village4",1,25,12
"GP46_village1",1,25,11
"GP50_village2",0,14,8
"GP22_village7",1,17,13
"GP24_village8",1,22,15
"GP45_village9",1,24,14
"GP12_village5",0,16,11
"GP44_village5",0,11,8
"GP26_village6",0,15,10
"GP20_village10",0,11,8
"GP36_village1",1,28,6
"GP28_village10",1,12,15
"GP16_village5",0,16,9
"GP49_village6",0,20,7
"GP44_village5",0,10,13
"GP2_village1",0,14,11
"GP37_village10",0,12,7
"GP19_village5",0,17,9
"GP13_village8",0,15,13
"GP39_village8",1,26,8
"GP30_village1",0,13,10
"GP5_village7",1,27,7
"GP7_village3",0,15,8
"GP16_village10",0,15,10
"GP44_village4",0,15,15
"GP43_village7",0,20,12
"GP19_village7",0,22,10
"GP38_village7",1,21,7
"GP26_village6",0,18,11
"GP44_village9",1,21,9
"GP45_village4",1,25,6
"GP38_village9",1,21,13
"GP10_village3",0,10,12
"GP40_village3",0,11,13
"GP10_village8",0,21,15
"GP38_village9",0,15,17
"GP27_village1",0,19,14
"GP29_village4",1,32,20
"GP30_village10",0,13,12
"GP23_village1",0,9,15
"GP49_village10",0,13,13
"GP21_village5",1,20,12
"GP2_village9",1,31,14
"GP23_village5",1,21,9
"GP19_village8",1,24,21
"GP19_village4",1,21,11
"GP13_village2",0,15,14
"GP33_village1",0,16,11
"GP38_village3",0,20,10
"GP37_village7",0,15,9
"GP50_village8",0,17,7
"GP7_village5",0,18,6
"GP26_village2",1,27,14
"GP17_village9",0,12,5
"GP47_village10",0,26,11
"GP37_village5",0,20,7
"GP37_village6",1,17,16
"GP32_village10",1,22,11
"GP45_village6",1,19,19
"GP40_village7",0,15,10
"GP33_village4",0,16,13
"GP36_village6",0,17,11
"GP50_village6",1,20,7
"GP4_village9",0,19,13
"GP40_village3",0,14,8
"GP28_village5",0,12,12
"GP21_village10",0,14,9
"GP23_village5",0,24,10
"GP36_village9",0,16,10
"GP18_village6",0,12,18
"GP46_village1",0,15,6
"GP28_village3",1,27,17
"GP31_village8",0,15,13
"GP12_village2",0,12,12
"GP11_village3",0,15,10
"GP24_village10",1,17,10
"GP30_village1",1,18,14
"GP11_village7",1,22,18
"GP24_village3",1,25,11
"GP17_village5",0,15,9
"GP23_village8",0,23,9
"GP34_village9",1,28,14
"GP10_village1",1,23,15
"GP4_village1",0,16,14
"GP6_village1",1,20,12
"GP10_village5",1,18,13
"GP19_village8",0,9,17
"GP38_village5",0,10,11
"GP41_village4",0,18,10
"GP28_village4",0,19,5
"GP48_village5",0,16,7
"GP45_village8",0,12,9
"GP9_village9",0,13,8
"GP7_village2",0,11,7
"GP24_village8",1,26,18
"GP42_village3",0,10,6
"GP18_village3",0,14,13
"GP24_village5",1,16,11
"GP8_village8",1,26,14
"GP16_village5",0,24,10
"GP47_village7",0,12,17
"GP18_village10",1,25,15
"GP29_village9",1,26,13
"GP49_village8",0,15,12
