"state","D_expected","R_expected","D_real","R_real"
"AL",38.8,61.2,48,52
"AK",45.4,54.6,49,51
"AZ",81.2,18.8,66,34
"AR",51.4,48.6,50,50
"CA",52.6,47.4,60,40
"CO",84.3,15.7,50,50
"CT",59.2,40.8,56,44
"DE",24.7,75.3,46,54
"FL",36.3,63.7,49,51
"GA",41.1,58.9,51,49
"HI",74.5,25.5,53,47
"ID",57.2,42.8,50,50
"IL",58,42,47,53
"IN",52.2,47.8,45,55
"IA",38.9,61.1,50,50
"KS",85.7,14.3,61,39
"KY",60,40,53,47
"LA",10.7,89.3,47,53
"ME",64,36,66,34
"MD",40.5,59.5,46,54
"MA",28.6,71.4,32,68
"MI",45.6,54.4,55,45
"MN",29.5,70.5,42,58
"MS",35.4,64.6,43,57
"MO",37.5,62.5,54,46
"MT",16.3,83.7,41,59
"NE",66.8,33.2,47,53
"NV",53.1,46.9,52,48
"NH",27.2,72.8,45,55
"NJ",75.1,24.9,56,44
"NM",58.5,41.5,55,45
"NY",44.1,55.9,47,53
"NC",67.9,32.1,58,42
"ND",67.6,32.4,53,47
"OH",66.4,33.6,56,44
"OK",63.8,36.2,60,40
"OR",61.1,38.9,56,44
"PA",48.8,51.2,48,52
"RI",43.9,56.1,56,44
"SC",42.4,57.6,55,45
"SD",36.1,63.9,51,49
"TN",45.8,54.2,51,49
"TX",24.7,75.3,41,59
"UT",93.4,6.6,68,32
"VT",74.2,25.8,53,47
"VA",27.5,72.5,58,42
"WA",41.9,58.1,58,42
"WV",40.7,59.3,47,53
"WI",65.6,34.4,48,52
"WY",48.3,51.7,46,54
"DC",55.1,44.9,53,47
