"year","presidential","midterm","ANES_turnout","votes","VEP","VAP","felons","noncitizens"
1980,1,0,73.2339955876243,87179,158879,163990,884,5810
1982,0,1,56.8220928061112,67339,162873,167317,999,6403
1984,1,0,72.334215414822,92231,169784,176571,1053,7396
1986,0,1,60.4881073006992,72764,170141,175639,1475,7617
1988,1,0,67.6124215237245,87410,173592,176625,1576,10084
1990,0,1,57.9015724878635,69386,180097,185798,1687,10354
1992,1,0,72.9305896078963,100179,180922,185449,1990,9938
1994,0,1,57.5458148551858,77777,180803,184735,2171,11049
1996,1,0,76.3325964745783,104021,185293,190075,2349,11767
1998,0,1,51.5151610231993,71740,189109,193083,2519,13140
2000,1,0,71.3485146779293,105723,195781,200053,2689,13458
2002,0,1,53.6522972219222,77268,197386,201761,2810,14377
2004,1,0,71.7716340324975,103984,200802,204115,2969,14986
