"year","country","leadername","died","politybefore","polityafter"
1961,"Country_36","Leader_191",0,-4,-4.968443115545
1950,"Country_20","Leader_112",0,-3,-5.39034222662257
1909,"Country_54","Leader_49",0,6,5.23342711413209
1945,"Country_38","Leader_70",0,-1,-0.84292223950074
1984,"Country_3","Leader_30",0,-1,-6.17084371179218
1908,"Country_25","Leader_198",0,7,5.70365320140155
1999,"Country_21","Leader_36",0,1,1.37069094707737
1921,"Country_53","Leader_181",0,-8,-5.87582080905448
2003,"Country_40","Leader_157",1,-5,-6.86505112780804
1884,"Country_5","Leader_37",0,-4,-1.77160016509211
1913,"Country_5","Leader_189",0,5,8.13571041087772
1982,"Country_19","Leader_110",0,0,1.36870920953944
1977,"Country_44","Leader_170",1,1,-2.30676541112303
1954,"Country_30","Leader_182",0,-1,-2.10693640907572
1964,"Country_7","Leader_170",0,-4,-2.16168914133918
1876,"Country_46","Leader_183",0,7,3.65886310604519
1952,"Country_17","Leader_190",0,1,-5.67293900504583
1904,"Country_29","Leader_46",0,-10,-5.34724753991537
1944,"Country_34","Leader_157",0,2,-0.888432834873554
1989,"Country_17","Leader_51",0,-4,-4.92068081230485
1922,"Country_11","Leader_32",0,-7,-1.0882981729864
1902,"Country_14","Leader_129",0,-3,-4.72243478881622
1941,"Country_40","Leader_162",0,-7,-3.06280537943211
2003,"Country_33","Leader_10",0,-5,-7.78204863645633
1918,"Country_34","Leader_69",0,-5,-5.06362720922193
1989,"Country_10","Leader_5",0,-10,-8.22066805740944
1988,"Country_34","Leader_183",1,3,-0.805954273273066
1953,"Country_38","Leader_122",0,-1,-2.70424479472673
1951,"Country_13","Leader_114",1,-7,-5.38652465878494
1968,"Country_12","Leader_130",0,5,6.01208790620179
1993,"Country_35","Leader_155",1,1,-3.85163963027533
1982,"Country_40","Leader_62",0,-3,-3.44926271763381
1977,"Country_59","Leader_139",0,3,4.66921931563645
1900,"Country_33","Leader_64",1,3,1.08357252006722
1910,"Country_46","Leader_101",0,3,3.08187576501883
1930,"Country_43","Leader_81",0,2,3.07668571019329
1931,"Country_54","Leader_191",0,1,1.60350504599505
1877,"Country_11","Leader_99",1,-2,0.659773038414145
1885,"Country_8","Leader_170",0,-3,-2.76812598293214
1925,"Country_17","Leader_141",0,-3,-3.64102954077636
1890,"Country_4","Leader_192",0,-5,-10
1985,"Country_12","Leader_185",0,-3,-2.67882305543842
1885,"Country_47","Leader_94",0,-8,-5.10914591092004
1970,"Country_56","Leader_31",0,9,8.80619652260445
1975,"Country_14","Leader_51",1,5,2.63416494606024
1989,"Country_51","Leader_124",1,-7,0.0385087293254474
1953,"Country_27","Leader_17",0,-4,-2.34072674111353
1970,"Country_11","Leader_115",1,-4,-2.52105242462334
1936,"Country_49","Leader_178",1,2,5.71680033840556
1965,"Country_29","Leader_73",0,-2,-3.75539866395778
1963,"Country_38","Leader_62",0,0,-1.35101587177414
