"treatment","feel1","feel2","feel3","feel4"
"No Contact",83,82,82,76
"Same-Sex Marriage Script by Gay Canvasser",40,43,35,29
"Recycling Script by Straight Canvasser",70,61,NA,66
"Recycling Script by Straight Canvasser",48,57,44,49
"Same-Sex Marriage Script by Straight Canvasser",57,60,51,53
"Recycling Script by Straight Canvasser",53,54,58,61
"Same-Sex Marriage Script by Straight Canvasser",70,71,72,65
"Recycling Script by Straight Canvasser",48,47,44,49
"Same-Sex Marriage Script by Straight Canvasser",55,55,55,59
"Same-Sex Marriage Script by Gay Canvasser",73,78,88,82
"Recycling Script by Gay Canvasser",51,45,53,57
"Same-Sex Marriage Script by Gay Canvasser",30,36,25,31
"Same-Sex Marriage Script by Straight Canvasser",60,56,56,55
"No Contact",100,100,100,100
"Recycling Script by Gay Canvasser",60,61,NA,NA
"No Contact",50,46,56,44
"Recycling Script by Gay Canvasser",99,97,100,96
"Same-Sex Marriage Script by Gay Canvasser",2,9,14,0
"Same-Sex Marriage Script by Gay Canvasser",69,70,73,62
"Same-Sex Marriage Script by Gay Canvasser",51,44,39,57
"Recycling Script by Straight Canvasser",68,62,NA,74
"No Contact",61,60,62,64
"Recycling Script by Gay Canvasser",31,33,30,24
"Recycling Script by Gay Canvasser",53,54,NA,52
"Same-Sex Marriage Script by Gay Canvasser",57,54,63,71
"Recycling Script by Straight Canvasser",52,52,51,NA
"Recycling Script by Gay Canvasser",100,87,100,95
"Recycling Script by Gay Canvasser",87,89,78,92
"No Contact",64,55,50,66
"No Contact",60,61,62,60
"Same-Sex Marriage Script by Gay Canvasser",100,98,100,98
"Same-Sex Marriage Script by Straight Canvasser",72,75,70,65
"Same-Sex Marriage Script by Straight Canvasser",76,73,77,94
"No Contact",62,63,64,62
"Recycling Script by Straight Canvasser",37,33,41,47
"Recycling Script by Gay Canvasser",90,96,88,99
"Recycling Script by Gay Canvasser",41,50,37,51
"No Contact",56,64,49,63
"Same-Sex Marriage Script by Gay Canvasser",67,56,60,67
"Recycling Script by Gay Canvasser",86,80,81,82
"Recycling Script by Straight Canvasser",65,72,57,74
"Recycling Script by Straight Canvasser",78,70,77,86
"No Contact",41,45,31,41
"Same-Sex Marriage Script by Gay Canvasser",44,43,38,47
"Same-Sex Marriage Script by Gay Canvasser",50,52,40,56
"No Contact",61,69,62,62
"Same-Sex Marriage Script by Straight Canvasser",50,44,49,47
"Recycling Script by Straight Canvasser",66,67,76,73
"Same-Sex Marriage Script by Gay Canvasser",70,65,76,75
"Recycling Script by Gay Canvasser",100,99,93,88
"Recycling Script by Straight Canvasser",76,72,75,79
"Same-Sex Marriage Script by Straight Canvasser",93,96,99,91
"Same-Sex Marriage Script by Gay Canvasser",57,54,55,58
"Same-Sex Marriage Script by Straight Canvasser",20,18,11,18
"Recycling Script by Gay Canvasser",63,58,68,72
"Recycling Script by Gay Canvasser",81,71,85,79
"Same-Sex Marriage Script by Straight Canvasser",72,71,75,71
"Recycling Script by Gay Canvasser",80,86,73,82
"Recycling Script by Gay Canvasser",42,34,40,33
"Same-Sex Marriage Script by Gay Canvasser",53,50,53,63
"No Contact",30,32,25,24
"Recycling Script by Straight Canvasser",3,0,3,3
"Same-Sex Marriage Script by Straight Canvasser",84,83,76,85
"Recycling Script by Gay Canvasser",59,62,57,62
"Same-Sex Marriage Script by Straight Canvasser",100,99,100,99
"No Contact",62,60,60,73
"Recycling Script by Gay Canvasser",100,93,100,97
"No Contact",70,70,68,71
"No Contact",56,53,65,54
"Same-Sex Marriage Script by Straight Canvasser",86,79,94,91
"Same-Sex Marriage Script by Gay Canvasser",25,24,NA,29
"Recycling Script by Straight Canvasser",30,40,29,30
"Recycling Script by Gay Canvasser",89,92,100,88
"Recycling Script by Gay Canvasser",72,66,74,82
"Recycling Script by Straight Canvasser",44,49,46,43
"Same-Sex Marriage Script by Straight Canvasser",100,100,94,100
"Recycling Script by Straight Canvasser",63,66,53,52
"Same-Sex Marriage Script by Gay Canvasser",39,38,34,46
"No Contact",23,34,19,NA
"No Contact",68,75,65,65
"No Contact",81,75,83,NA
"No Contact",63,58,63,58
"Same-Sex Marriage Script by Gay Canvasser",70,68,62,68
"Recycling Script by Gay Canvasser",27,26,23,26
"No Contact",74,63,72,74
"Recycling Script by Straight Canvasser",81,84,88,88
"Recycling Script by Straight Canvasser",66,73,65,57
"Same-Sex Marriage Script by Straight Canvasser",45,46,52,41
"No Contact",31,26,30,34
"Same-Sex Marriage Script by Gay Canvasser",39,41,41,30
"Same-Sex Marriage Script by Gay Canvasser",68,66,74,72
"Same-Sex Marriage Script by Gay Canvasser",98,100,90,100
"Recycling Script by Straight Canvasser",79,78,85,76
"No Contact",50,64,52,59
"Same-Sex Marriage Script by Straight Canvasser",74,71,87,74
"Recycling Script by Gay Canvasser",42,36,NA,44
"Recycling Script by Gay Canvasser",48,48,NA,49
"Same-Sex Marriage Script by Gay Canvasser",72,78,80,73
"Recycling Script by Straight Canvasser",56,55,63,NA
"Recycling Script by Straight Canvasser",58,56,65,70
"Recycling Script by Straight Canvasser",14,15,NA,8
"Recycling Script by Gay Canvasser",57,57,59,60
"No Contact",63,59,71,67
"No Contact",25,32,36,18
"Recycling Script by Gay Canvasser",23,23,26,23
"Same-Sex Marriage Script by Gay Canvasser",12,10,19,7
"Recycling Script by Straight Canvasser",0,0,7,1
"Same-Sex Marriage Script by Gay Canvasser",85,84,81,89
"Recycling Script by Gay Canvasser",48,50,50,50
"Same-Sex Marriage Script by Gay Canvasser",57,61,57,56
"Same-Sex Marriage Script by Straight Canvasser",80,77,78,NA
"Same-Sex Marriage Script by Straight Canvasser",36,26,32,32
"Same-Sex Marriage Script by Gay Canvasser",19,19,NA,15
"Same-Sex Marriage Script by Straight Canvasser",72,68,73,72
"Same-Sex Marriage Script by Gay Canvasser",4,8,4,0
"Recycling Script by Straight Canvasser",82,81,79,72
"Same-Sex Marriage Script by Gay Canvasser",37,31,45,33
